time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple,unq_vendor_mac
2021-11-22,826,0.13533834586466165,0.8646616541353384,18,115,0.0,115.0,15
2021-11-23,821,0.11647254575707154,0.8835274542429284,70,531,1.0,530.0,77
2021-11-24,779,0.17486338797814208,0.825136612021858,96,453,0.0,453.0,106
2021-11-25,932,0.09247842170160296,0.9075215782983971,75,736,15.0,721.0,136
2021-11-26,1377,0.07085346215780998,0.92914653784219,88,1154,58.0,1096.0,222
2021-11-27,1333,0.03117505995203837,0.9688249400479616,26,808,60.0,748.0,135
2021-11-28,1225,0.10864745011086474,0.8913525498891353,98,804,50.0,754.0,102
