time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple,unq_vendor_mac
2021-11-22,826,0.030978934324659233,0.9690210656753407,25,782,3.0,779.0,51
2021-11-23,821,0.040535062829347386,0.9594649371706526,100,2367,6.0,2361.0,172
2021-11-24,779,0.05317324185248713,0.9468267581475128,124,2208,2.0,2206.0,202
2021-11-25,932,0.038318452380952384,0.9616815476190477,103,2585,51.0,2534.0,276
2021-11-26,1377,0.038324131211432286,0.9616758687885677,118,2961,99.0,2862.0,350
2021-11-27,1333,0.015455950540958269,0.9845440494590417,40,2548,112.0,2436.0,206
2021-11-28,1225,0.054485866448176976,0.945514133551823,133,2308,66.0,2242.0,219
