time,Camera_count_prediction,upper_limit,lower_limit
2022-01-31,6389.0,7705.0,5072.0
2022-02-01,11205.0,13645.0,8765.0
2022-02-02,10706.0,13053.0,8360.0
2022-02-03,10377.0,12650.0,8104.0
2022-02-04,10900.0,13268.0,8532.0
2022-02-05,10537.0,12813.0,8261.0
2022-02-06,10023.0,12206.0,7841.0
