,time,total,perc_randomised,perc_vendor,count_randomised,count_vendor,apple,not_apple
67,2022-01-21,713,0.4340909090909091,0.5659090909090909,191,249,14.0,235.0
68,2022-01-22,816,0.3644444444444444,0.6355555555555555,328,572,3.0,569.0
69,2022-01-23,742,0.4714064914992272,0.5285935085007728,305,342,51.0,291.0
70,2021-11-22,826,0.1497005988023952,0.8502994011976048,25,142,1.0,141.0
71,2021-11-23,821,0.1155378486055776,0.8844621513944223,87,666,1.0,665.0
72,2021-11-24,779,0.1522911051212938,0.8477088948787062,113,629,0.0,629.0
73,2021-11-25,932,0.092079207920792,0.907920792079208,93,917,25.0,892.0
74,2021-11-26,1377,0.0745257452574525,0.9254742547425474,110,1366,69.0,1297.0
75,2021-11-27,1333,0.033203125,0.966796875,34,990,89.0,901.0
76,2021-11-28,1225,0.109689213893967,0.8903107861060329,120,974,60.0,914.0
