time,Camera_count_prediction,upper_limit,lower_limit
2022-01-31,935.0,1168.0,702.0
2022-02-01,1119.0,1359.0,879.0
2022-02-02,855.0,1088.0,622.0
2022-02-03,971.0,1211.0,731.0
2022-02-04,825.0,1057.0,594.0
2022-02-05,881.0,1117.0,645.0
2022-02-06,637.0,869.0,405.0
